# Sphero Kalman Filter Data
# sphero_idx is the first column to attribute rows to a sphero index in sb_list
sphero_idx,"timestamp (monotonic, s)",seq,dt_s,theta (rad),roll (deg),pitch (deg),vel_x (mm/s),vel_y (mm/s),v_forward (m/s),gyro_z (rad/s),accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
0,318924.369464,0,0.000000,1.450930,-8.502526,1.593057,6.523121,-0.803419,-0.000018,2.768709,-2.587923,-0.378657,10.416749
1,318925.407254,0,0.000000,0.035837,-5.246566,15.733130,0.938740,4.478817,0.001099,0.007553,-0.996457,-1.859320,8.908548
2,318928.540049,0,0.000000,0.868899,-1.219465,1.969344,-1.577238,1.362905,0.000022,-0.025338,-0.234523,-0.386443,10.110435
3,318929.589014,0,0.000000,2.371949,-1.614709,11.407035,-14.136125,-14.402685,0.000129,0.052112,-0.857515,-0.470038,9.672938
0,318930.503384,1,6.133920,0.358864,2.495126,4.340154,0.021154,-0.038249,0.000006,-2.707687,0.516906,0.285379,10.595886
1,318931.580376,1,6.173123,-0.770095,-2.573115,8.338376,21.832499,22.854725,-0.000239,-0.263469,-0.139209,-4.118837,0.662626
2,318932.860842,1,4.320793,2.786933,3.930418,8.278595,-2.862249,-5.286295,0.000848,-2.382099,0.682755,-2.776864,8.805149
3,318933.872559,1,4.283544,2.360245,-0.046771,6.952116,-25.804931,-25.074041,0.000663,0.286262,0.729054,1.107701,9.095504
0,318935.123275,2,4.619891,0.665233,4.470193,2.764615,0.533795,-0.411643,0.000166,-7.715191,1.519682,-0.526494,9.831988
1,318936.180525,2,4.600149,1.555687,-0.305165,7.670168,-26.323178,0.228407,-0.000169,0.322814,-0.990180,0.807539,11.451126
2,318937.584182,2,4.723340,1.380375,1.416251,5.654572,-0.123919,-0.190095,-0.000210,3.639070,0.070843,-2.456648,9.490668
3,318938.627914,2,4.755355,2.366457,-3.508228,5.505967,-21.085706,-21.422109,0.000071,-0.056618,-1.086253,-2.579595,11.391182
0,318939.712216,3,4.588941,0.535684,10.032986,6.579835,3.892763,-6.395581,0.000083,-7.092968,1.478298,-1.118930,9.181006
1,318940.763089,3,4.582564,-0.011085,2.109856,6.498531,0.637615,21.066211,0.000404,0.332526,0.235526,-3.028294,4.225593
2,318941.274049,3,3.689868,-0.012588,8.365193,-19.439796,-0.923135,2.901821,-0.000960,-0.663524,1.181059,3.571081,8.951015
3,318942.331722,3,3.703808,-0.000862,0.846492,5.881586,-0.102047,23.787113,-0.000123,-0.051024,0.728399,3.137018,8.674885
0,318944.302734,4,4.590518,2.233176,-0.995552,2.641901,2.580441,1.807892,-0.000161,6.544740,-1.210064,0.068251,14.268038
1,318945.349335,4,4.586246,-2.323702,-11.372181,5.329944,18.316180,-17.350274,0.000137,0.036761,-2.655067,-1.533603,8.885970
2,318946.581232,4,5.307182,-2.926344,-3.758734,6.130001,-0.182812,0.980402,-0.000031,-1.417096,-0.924880,0.521263,10.369769
3,318947.600253,4,5.268531,-3.138700,3.169246,3.085359,0.083545,-25.614366,-0.000009,0.137820,0.800614,1.429879,6.491794
0,318949.027817,5,4.725083,1.189288,6.218356,4.451269,-2.270666,0.993198,0.000076,-4.100386,0.878459,-2.269292,10.385895
1,318950.094570,5,4.745235,0.769068,1.718946,10.379600,-17.934382,18.576975,0.000033,-0.228847,0.976310,-1.803854,6.003050
2,340105.911005,5,21159.329774,1.694488,-7.476846,7.654538,0.004590,-0.000248,-0.000001,0.000000,-1.310148,-1.342857,9.890969
3,340116.025678,5,21168.425425,-0.915843,-60.375084,6.302932,2.580247,-0.692495,0.002121,-0.419555,-10.153506,-1.420498,8.663219
